No,"ID",Area,Item Uji,PIC,Target Date,Execution Date,Environment,Status,Severity,Evidence Link,Notes,Retest Date,Retest Status,Approval By,Approval Date
1,SEC-01,Konfigurasi,APP_DEBUG=false di server,,,,staging,PENDING,HIGH,,,,,,
2,SEC-02,Konfigurasi,Secret/key tidak hardcoded,,,,staging,PENDING,HIGH,,,,,,
3,SEC-03,HTTP Security,Header keamanan aktif,,,2026-04-06,local,PASS,MEDIUM,docs/security/03-security-test-report-local-2026-04-06.md,Lolos uji pada pengujian keamanan lokal.,,,,
4,SEC-04,TLS,HTTPS wajib + redirect HTTP->HTTPS,,,,staging,PENDING,HIGH,,,,,,
5,SEC-05,CORS,Origin dibatasi sesuai whitelist,,,2026-04-06,local,PASS,HIGH,docs/security/03-security-test-report-local-2026-04-06.md,Lolos uji pada pengujian keamanan lokal.,,,,
6,SEC-06,Auth,Brute-force login dibatasi (rate limit),,,2026-04-06,local,PASS,HIGH,docs/security/03-security-test-report-local-2026-04-06.md,Lolos uji pada pengujian keamanan lokal.,,,,
7,SEC-07,Auth,Logout invalidasi token/session,,,2026-04-06,local,PASS,HIGH,docs/security/03-security-test-report-local-2026-04-06.md,Lolos uji pada pengujian keamanan lokal.,,,,
8,SEC-08,Session,Cookie security flag (HttpOnly/Secure/SameSite),,,,staging,PENDING,MEDIUM,,,,,,
9,SEC-09,Authorization,Isolasi data role fakultas/prodi,,,2026-04-06,local,PASS,CRITICAL,docs/security/03-security-test-report-local-2026-04-06.md,Lolos uji pada pengujian keamanan lokal.,,,,
10,SEC-10,Authorization,Cegah IDOR endpoint detail/update/delete,,,2026-04-06,local,PASS,CRITICAL,docs/security/03-security-test-report-local-2026-04-06.md,Lolos uji pada pengujian keamanan lokal.,,,,
11,SEC-11,Input Validation,Uji SQLi payload dasar,,,2026-04-06,local,PASS,HIGH,docs/security/03-security-test-report-local-2026-04-06.md,Lolos uji pada pengujian keamanan lokal.,,,,
12,SEC-12,Input Validation,Uji XSS stored/reflected,,,2026-04-06,local,PASS,HIGH,docs/security/03-security-test-report-local-2026-04-06.md,Lolos uji pada pengujian keamanan lokal.,,,,
13,SEC-13,API Protection,Rate-limit endpoint sensitif,,,2026-04-06,local,PASS,HIGH,docs/security/03-security-test-report-local-2026-04-06.md,Lolos uji pada pengujian keamanan lokal.,,,,
14,SEC-14,Upload/Import,Validasi file import ketat,,,2026-04-06,local,PASS,MEDIUM,docs/security/03-security-test-report-local-2026-04-06.md,Lolos uji pada pengujian keamanan lokal.,,,,
15,SEC-15,Dependency,Audit kerentanan backend (composer audit),,,,staging,PENDING,HIGH,,,,,,
16,SEC-16,Dependency,Audit kerentanan frontend (npm audit),,,,staging,PENDING,HIGH,,,,,,
17,SEC-17,DAST,OWASP ZAP baseline/active scan,,,,staging,PENDING,HIGH,,,,,,
18,SEC-18,Logging,Audit log aksi admin tercatat lengkap,,,2026-04-06,local,PASS,MEDIUM,docs/security/03-security-test-report-local-2026-04-06.md,Lolos uji pada pengujian keamanan lokal.,,,,
19,SEC-19,Backup,Uji backup dan restore,,,,staging,PENDING,HIGH,,,,,,
20,SEC-20,Redis,Redis tidak terbuka publik,,,,staging,PENDING,CRITICAL,,,,,,
21,SEC-21,DB Hardening,User DB least privilege,,,,staging,PENDING,HIGH,,,,,,
22,SEC-22,Nginx Hardening,Limit body/timeout anti abuse,,,,staging,PENDING,MEDIUM,,,,,,
23,SEC-23,PHP Hardening,expose_php off + php.ini hardening,,,,staging,PENDING,MEDIUM,,,,,,
24,SEC-24,Monitoring,Alert 5xx/latency/resource aktif,,,,staging,PENDING,MEDIUM,,,,,,
25,SEC-25,Incident Response,Runbook insiden keamanan tersedia,,,2026-04-06,local,PASS,MEDIUM,docs/security/03-security-test-report-local-2026-04-06.md,Lolos uji pada pengujian keamanan lokal.,,,,
